Method,Category,Accuracy,AUC,Precision,Recall,F1,DPD,DPR,EOD,TPR_Diff,FPR_Diff,TradeoffScore,Dataset,Acc_Rank,DPD_Rank,Combined_Rank
Baseline (No Intervention),Baseline,0.7766666666666666,,0.8122270742358079,0.8857142857142857,0.8473804100227791,0.1421568627450981,0.8242424242424242,0.1331955429699791,0.0861678004535148,0.1802232854864434,0.7055882352941176,German Credit,5.0,20.5,25.5
Reweighing,Pre-processing,0.77,,0.8025751072961373,0.8904761904761904,0.8442437923250564,0.1158088235294118,0.8576807228915663,0.1037279345550022,0.0702947845804988,0.1371610845295055,0.7120955882352942,German Credit,11.0,14.0,25.0
Feature Masking,Pre-processing,0.7666666666666667,,0.8017241379310345,0.8857142857142857,0.8416289592760181,0.1262254901960784,0.8448795180722891,0.1242500189868611,0.0634920634920634,0.1850079744816587,0.7035539215686275,German Credit,12.5,15.0,27.5
DIR (repair=0.5),Pre-processing,0.7733333333333333,,0.8114035087719298,0.8809523809523809,0.8447488584474886,0.1372549019607843,0.8292682926829268,0.1297941824257614,0.0793650793650794,0.1802232854864434,0.7047058823529411,German Credit,9.0,18.0,27.0
DIR (repair=1.0),Pre-processing,0.7766666666666666,,0.8177777777777778,0.8761904761904762,0.8459770114942529,0.1531862745098039,0.808282208588957,0.144110275689223,0.0952380952380952,0.1929824561403508,0.7000735294117646,German Credit,5.0,24.0,29.0
Label Flip (targeted),Pre-processing,0.7366666666666667,,0.8133971291866029,0.8095238095238095,0.8114558472553699,0.0477941176470587,0.9344537815126052,0.0872690383968579,0.0453514739229025,0.1291866028708134,0.7127696078431374,German Credit,17.5,6.0,23.5
Label Flip (equalize),Pre-processing,0.7633333333333333,,0.7932489451476793,0.8952380952380953,0.8411633109619687,0.074142156862745,0.9088855421686748,0.0503368811639488,0.054421768707483,0.0462519936204146,0.7262622549019608,German Credit,14.5,10.0,24.5
Sampling (oversample),Pre-processing,0.74,,0.8707865168539326,0.7380952380952381,0.7989690721649485,0.0912990196078431,0.8533464566929134,0.0626349423341904,0.0566893424036281,0.0685805422647527,0.6943504901960784,German Credit,16.0,12.0,28.0
Sampling (undersample),Pre-processing,0.7033333333333334,,0.8579881656804734,0.6904761904761905,0.7651715039577837,0.0165441176470587,0.9709051724137931,0.0714068721587518,0.0566893424036281,0.0861244019138755,0.6950612745098039,German Credit,21.0,5.0,26.0
Sampling (hybrid),Pre-processing,0.7366666666666667,,0.861878453038674,0.7428571428571429,0.7979539641943734,0.0753676470588234,0.8798828125000001,0.0483188490707287,0.0408163265306121,0.0558213716108452,0.6989828431372549,German Credit,17.5,11.0,28.5
Fair Reg (λ=0.1),In-processing,0.7033333333333334,,0.7037037037037037,0.9952380952380953,0.8244575936883629,0.0006127450980392,0.999381188118812,0.0097809458711713,0.0068027210884353,0.0127591706539074,0.7030269607843138,German Credit,21.0,2.5,23.5
Fair Reg (λ=0.5),In-processing,0.7033333333333334,,0.7037037037037037,0.9952380952380953,0.8244575936883629,0.0006127450980392,0.999381188118812,0.0097809458711713,0.0068027210884353,0.0127591706539074,0.7030269607843138,German Credit,21.0,2.5,23.5
Fair Reg (λ=1.0),In-processing,0.7033333333333334,,0.7037037037037037,0.9952380952380953,0.8244575936883629,0.0006127450980392,0.999381188118812,0.0097809458711713,0.0068027210884353,0.0127591706539074,0.7030269607843138,German Credit,21.0,2.5,23.5
Fair Reg (λ=2.0),In-processing,0.7033333333333334,,0.7037037037037037,0.9952380952380953,0.8244575936883629,0.0006127450980392,0.999381188118812,0.0097809458711713,0.0068027210884353,0.0127591706539074,0.7030269607843138,German Credit,21.0,2.5,23.5
Adversarial (w=0.5),In-processing,0.7733333333333333,,0.808695652173913,0.8857142857142857,0.8454545454545455,0.0704656862745097,0.9107142857142856,0.0475214009048595,0.0408163265306122,0.0542264752791069,0.7381004901960784,German Credit,9.0,8.0,17.0
Adversarial (w=1.0),In-processing,0.7633333333333333,,0.8061674008810573,0.8714285714285714,0.8375286041189931,0.0710784313725489,0.9088050314465408,0.0486551877529321,0.0430839002267573,0.0542264752791069,0.7277941176470588,German Credit,14.5,9.0,23.5
Constrained (ε=0.05),In-processing,0.78,,0.8185840707964602,0.8809523809523809,0.8486238532110092,0.1274509803921568,0.8395061728395061,0.1122503227766386,0.0793650793650794,0.1451355661881977,0.7162745098039216,German Credit,1.5,16.5,18.0
Constrained (ε=0.1),In-processing,0.78,,0.8185840707964602,0.8809523809523809,0.8486238532110092,0.1274509803921568,0.8395061728395061,0.1122503227766386,0.0793650793650794,0.1451355661881977,0.7162745098039216,German Credit,1.5,16.5,18.0
Equalized Odds,Post-processing,0.6366666666666667,,0.7885714285714286,0.6571428571428571,0.7168831168831169,0.0612745098039215,0.8983739837398373,0.0407675031735181,0.0544217687074829,0.0271132376395534,0.6060294117647059,German Credit,25.0,7.0,32.0
Equal Opportunity,Post-processing,0.67,,0.8208092485549133,0.6761904761904762,0.741514360313316,0.1433823529411764,0.7696850393700787,0.1326964597641289,0.1043083900226757,0.1610845295055821,0.5983088235294118,German Credit,24.0,23.0,47.0
Threshold Opt (w=0.3),Post-processing,0.7766666666666666,,0.8122270742358079,0.8857142857142857,0.8473804100227791,0.1421568627450981,0.8242424242424242,0.1331955429699791,0.0861678004535148,0.1802232854864434,0.7055882352941176,German Credit,5.0,20.5,25.5
Threshold Opt (w=0.5),Post-processing,0.7766666666666666,,0.8122270742358079,0.8857142857142857,0.8473804100227791,0.1421568627450981,0.8242424242424242,0.1331955429699791,0.0861678004535148,0.1802232854864434,0.7055882352941176,German Credit,5.0,20.5,25.5
