Method,Category,Accuracy,AUC,Precision,Recall,F1,DPD,DPR,EOD,TPR_Diff,FPR_Diff
Baseline,Baseline,0.6857451403887689,,0.7101449275362319,0.5231316725978647,0.6024590163934426,0.2560800209205021,0.4423405466970387,0.21288436805617905,0.28661023742720393,0.13915849868515417
Reweighing,Pre-processing,0.6846652267818575,,0.714759535655058,0.5112692763938316,0.5961272475795297,0.2545483413030484,0.4327547452547453,0.21256371757203546,0.29188574257892624,0.13324169256514465
DIR (r=0.5),Pre-processing,0.6862850971922246,,0.707936507936508,0.5290628706998813,0.6055668703326544,0.21576602659892408,0.5146533613445379,0.17034582224208814,0.23676702897696456,0.10392461550721172
DIR (r=1.0),Pre-processing,0.6857451403887689,,0.7023255813953488,0.5373665480427047,0.6088709677419355,0.16875560370591752,0.6074687174139729,0.12077475159516018,0.17593072878598537,0.065618774404335
LabelFlip (targeted),Pre-processing,0.6803455723542117,,0.7302752293577982,0.4721233689205219,0.5734870317002881,0.25009339509862527,0.3977599856063332,0.21108861317768693,0.2968724211916158,0.12530480516375808
LabelFlip (equalize),Pre-processing,0.683585313174946,,0.7227036395147314,0.49466192170818507,0.5873239436619718,0.24897265391512255,0.42368557592528533,0.20785503139719275,0.2893334590809422,0.12637660371344328
Sampling (oversample),Pre-processing,0.673866090712743,,0.6378316032295271,0.6559905100830368,0.6467836257309941,0.27989577106993424,0.5362558801683586,0.23412085337992458,0.2772145332798906,0.19102717347995857
Sampling (undersample),Pre-processing,0.6711663066954644,,0.6320541760722348,0.66429418742586,0.6477732793522267,0.2716629931261208,0.5545286081842685,0.2259498635013351,0.2660681866408884,0.18583154036178182
Sampling (hybrid),Pre-processing,0.683585313174946,,0.6520710059171597,0.6536180308422301,0.6528436018957346,0.2828283771667663,0.5231324011085916,0.23381344004489457,0.27330063895503737,0.1943262411347518
FairReg (λ=0.1),In-processing,0.6387688984881209,,0.7753164556962026,0.29062870699881377,0.4227782571182053,0.16190040346682608,0.3496773709483793,0.13614679112771483,0.2011883149034494,0.07110526735198024
FairReg (λ=0.5),In-processing,0.6376889848812095,,0.7756410256410257,0.2870699881376038,0.41904761904761906,0.15771630304841602,0.35565476190476186,0.1320877748784569,0.19531747341616956,0.06885807634074428
FairReg (λ=1.0),In-processing,0.6371490280777538,,0.7766990291262136,0.2846975088967972,0.4166666666666667,0.1545782277346085,0.36027365491651203,0.12900723221041233,0.19140357909131633,0.06661088532950833
FairReg (λ=2.0),In-processing,0.6355291576673866,,0.7818791946308725,0.2763938315539739,0.4084136722173532,0.14307195158398087,0.3782873376623377,0.11766353511944727,0.17770494895433003,0.05762212128456451
Adversarial (w=0.5),In-processing,0.6889848812095032,,0.6966126656848306,0.561091340450771,0.621550591327201,0.2605349671249253,0.47118592659993935,0.2140302170256464,0.27469761629689005,0.15336281775440275
Adversarial (w=1.0),In-processing,0.6927645788336934,,0.7075757575757575,0.5539739027283511,0.6214238190286094,0.2752540346682606,0.43772893772893773,0.2299839553619136,0.3076768915191097,0.1522910192047175
Constrained (ε=0.05),In-processing,0.683585313174946,,0.7196581196581197,0.49940688018979834,0.5896358543417367,0.24869246861924688,0.42985611510791366,0.20585093968483661,0.2723162709546601,0.13938560841501313
Constrained (ε=0.1),In-processing,0.6825053995680346,,0.7202072538860104,0.49466192170818507,0.5864978902953587,0.2489026075911536,0.4252393892339545,0.20714334738154402,0.2793954683705468,0.13489122639254125
Equalized Odds,Post-processing,0.6252699784017278,,0.586527293844367,0.5990510083036773,0.5927230046948356,0.059343245666467426,0.880244260997399,0.09845788795756913,0.06019970292127419,0.13671607299386407
ThreshOpt (w=0.3),Post-processing,0.6857451403887689,,0.7101449275362319,0.5231316725978647,0.6024590163934426,0.2560800209205021,0.4423405466970387,0.21288436805617905,0.28661023742720393,0.13915849868515417
ThreshOpt (w=0.5),Post-processing,0.6857451403887689,,0.7101449275362319,0.5231316725978647,0.6024590163934426,0.2560800209205021,0.4423405466970387,0.21288436805617905,0.28661023742720393,0.13915849868515417
ThreshOpt (w=0.7),Post-processing,0.6857451403887689,,0.7101449275362319,0.5231316725978647,0.6024590163934426,0.2560800209205021,0.4423405466970387,0.21288436805617905,0.28661023742720393,0.13915849868515417
Calibrated,Post-processing,0.6852051835853131,,0.7090032154340836,0.5231316725978647,0.6020477815699659,0.2571260460251046,0.4413352272727273,0.21400796356179705,0.28661023742720393,0.14140568969639017
Reject Option,Post-processing,0.6673866090712743,,0.6765163297045101,0.5160142348754448,0.585464333781965,0.0326135684399283,0.9101482091395635,0.045311788864443855,0.03138778204795695,0.059235795680930764
