Method,Category,Accuracy,AUC,Precision,Recall,F1,DPD,DPR,EOD,TPR_Diff,FPR_Diff,TradeoffScore
Baseline (No Intervention),Baseline,0.7766666666666666,,0.8122270742358079,0.8857142857142857,0.8473804100227791,0.1421568627450981,0.8242424242424242,0.1331955429699791,0.0861678004535148,0.1802232854864434,0.7055882352941176
Reweighing,Pre-processing,0.77,,0.8025751072961373,0.8904761904761904,0.8442437923250564,0.1158088235294118,0.8576807228915663,0.1037279345550022,0.07029478458049887,0.13716108452950554,0.7120955882352942
Feature Masking,Pre-processing,0.7666666666666667,,0.8017241379310345,0.8857142857142857,0.8416289592760181,0.12622549019607843,0.8448795180722891,0.12425001898686111,0.06349206349206349,0.18500797448165873,0.7035539215686275
DIR (repair=0.5),Pre-processing,0.7733333333333333,,0.8114035087719298,0.8809523809523809,0.8447488584474886,0.13725490196078438,0.8292682926829268,0.1297941824257614,0.07936507936507942,0.1802232854864434,0.7047058823529411
DIR (repair=1.0),Pre-processing,0.7766666666666666,,0.8177777777777778,0.8761904761904762,0.8459770114942529,0.15318627450980393,0.808282208588957,0.14411027568922305,0.09523809523809523,0.19298245614035087,0.7000735294117646
Label Flip (targeted),Pre-processing,0.7366666666666667,,0.8133971291866029,0.8095238095238095,0.8114558472553699,0.047794117647058765,0.9344537815126052,0.08726903839685796,0.04535147392290251,0.1291866028708134,0.7127696078431374
Label Flip (equalize),Pre-processing,0.7633333333333333,,0.7932489451476793,0.8952380952380953,0.8411633109619687,0.07414215686274506,0.9088855421686748,0.050336881163948854,0.054421768707483054,0.046251993620414655,0.7262622549019608
Sampling (oversample),Pre-processing,0.74,,0.8707865168539326,0.7380952380952381,0.7989690721649485,0.09129901960784315,0.8533464566929134,0.06263494233419044,0.05668934240362811,0.06858054226475277,0.6943504901960784
Sampling (undersample),Pre-processing,0.7033333333333334,,0.8579881656804734,0.6904761904761905,0.7651715039577837,0.016544117647058765,0.9709051724137933,0.07140687215875184,0.05668934240362811,0.08612440191387558,0.6950612745098039
Sampling (hybrid),Pre-processing,0.7366666666666667,,0.861878453038674,0.7428571428571429,0.7979539641943734,0.07536764705882348,0.8798828125000001,0.048318849070728725,0.04081632653061218,0.05582137161084527,0.6989828431372549
Fair Reg (λ=0.1),In-processing,0.7033333333333334,,0.7037037037037037,0.9952380952380953,0.8244575936883629,0.0006127450980392135,0.9993811881188119,0.009780945871171398,0.006802721088435382,0.012759170653907415,0.7030269607843138
Fair Reg (λ=0.5),In-processing,0.7033333333333334,,0.7037037037037037,0.9952380952380953,0.8244575936883629,0.0006127450980392135,0.9993811881188119,0.009780945871171398,0.006802721088435382,0.012759170653907415,0.7030269607843138
Fair Reg (λ=1.0),In-processing,0.7033333333333334,,0.7037037037037037,0.9952380952380953,0.8244575936883629,0.0006127450980392135,0.9993811881188119,0.009780945871171398,0.006802721088435382,0.012759170653907415,0.7030269607843138
Fair Reg (λ=2.0),In-processing,0.7033333333333334,,0.7037037037037037,0.9952380952380953,0.8244575936883629,0.0006127450980392135,0.9993811881188119,0.009780945871171398,0.006802721088435382,0.012759170653907415,0.7030269607843138
Adversarial (w=0.5),In-processing,0.7733333333333333,,0.808695652173913,0.8857142857142857,0.8454545454545455,0.07046568627450978,0.9107142857142857,0.047521400904859595,0.04081632653061229,0.0542264752791069,0.7381004901960784
Adversarial (w=1.0),In-processing,0.7633333333333333,,0.8061674008810573,0.8714285714285714,0.8375286041189931,0.07107843137254899,0.9088050314465409,0.04865518775293212,0.04308390022675734,0.0542264752791069,0.7277941176470588
Constrained (ε=0.05),In-processing,0.78,,0.8185840707964602,0.8809523809523809,0.8486238532110092,0.12745098039215685,0.8395061728395061,0.1122503227766386,0.07936507936507942,0.14513556618819778,0.7162745098039216
Constrained (ε=0.1),In-processing,0.78,,0.8185840707964602,0.8809523809523809,0.8486238532110092,0.12745098039215685,0.8395061728395061,0.1122503227766386,0.07936507936507942,0.14513556618819778,0.7162745098039216
Equalized Odds,Post-processing,0.6366666666666667,,0.7885714285714286,0.6571428571428571,0.7168831168831169,0.06127450980392157,0.8983739837398373,0.04076750317351818,0.05442176870748294,0.027113237639553422,0.6060294117647059
Equal Opportunity,Post-processing,0.67,,0.8208092485549133,0.6761904761904762,0.741514360313316,0.14338235294117646,0.7696850393700787,0.13269645976412894,0.10430839002267578,0.1610845295055821,0.5983088235294118
Threshold Opt (w=0.3),Post-processing,0.7766666666666666,,0.8122270742358079,0.8857142857142857,0.8473804100227791,0.1421568627450981,0.8242424242424242,0.1331955429699791,0.0861678004535148,0.1802232854864434,0.7055882352941176
Threshold Opt (w=0.5),Post-processing,0.7766666666666666,,0.8122270742358079,0.8857142857142857,0.8473804100227791,0.1421568627450981,0.8242424242424242,0.1331955429699791,0.0861678004535148,0.1802232854864434,0.7055882352941176
Threshold Opt (w=0.7),Post-processing,0.7766666666666666,,0.8122270742358079,0.8857142857142857,0.8473804100227791,0.1421568627450981,0.8242424242424242,0.1331955429699791,0.0861678004535148,0.1802232854864434,0.7055882352941176
Calibrated Post-Proc,Post-processing,0.7666666666666667,,0.7892561983471075,0.9095238095238095,0.8451327433628318,0.20588235294117652,0.7640449438202247,0.22037778428755878,0.1201814058956917,0.32057416267942584,0.6637254901960785
Reject Option,Post-processing,0.7733333333333333,,0.808695652173913,0.8857142857142857,0.8454545454545455,0.10110294117647067,0.8734662576687116,0.08278271436166171,0.06349206349206349,0.10207336523125993,0.7227818627450979
